dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
diabetes,0.15036294460296631,0.021859641183738714,0.01813673973083496,0.005476333279415851,105,9,16,24,"{'n_estimators': 105, 'min_samples_split': 9, 'min_samples_leaf': 16, 'max_depth': 24}",0.7922077922077922,0.7987012987012987,0.8116883116883117,0.7254901960784313,0.7581699346405228,0.7142857142857143,0.7597402597402597,0.7857142857142857,0.7908496732026143,0.7777777777777778,0.7714625244037009,0.030176206863547585,2,0.8694444444444445,0.8664814814814815,0.8292592592592593,0.8052830188679245,0.8086792452830188,0.7777777777777777,0.8355555555555556,0.8857407407407408,0.8266037735849057,0.8577358490566038,0.8362561146051712,0.0319488528281565,7,0.6666666666666666,0.6666666666666666,0.6947368421052632,0.5434782608695652,0.6336633663366337,0.56,0.6105263157894737,0.611764705882353,0.6923076923076923,0.6458333333333334,0.6325643849957648,0.049049069103398804,24,0.7619047619047619,0.7948717948717948,0.8048780487804879,0.6410256410256411,0.6666666666666666,0.6086956521739131,0.7073170731707317,0.8387096774193549,0.7058823529411765,0.7209302325581395,0.7250881901512669,0.07087330259988368,17,0.5925925925925926,0.5740740740740741,0.6111111111111112,0.4716981132075472,0.6037735849056604,0.5185185185185185,0.5370370370370371,0.48148148148148145,0.6792452830188679,0.5849056603773585,0.5654437456324248,0.060450481204716994,39
diabetes,0.15011870861053467,0.005474751060928943,0.018898677825927735,0.0008707010132252978,101,12,2,15,"{'n_estimators': 101, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_depth': 15}",0.7922077922077922,0.7922077922077922,0.7792207792207793,0.738562091503268,0.738562091503268,0.7402597402597403,0.7792207792207793,0.7922077922077922,0.7777777777777778,0.7843137254901961,0.7714540361599186,0.021805974472267273,3,0.8529629629629629,0.8511111111111112,0.8337037037037036,0.809433962264151,0.800188679245283,0.7864814814814814,0.8494444444444446,0.8794444444444445,0.8233962264150942,0.8533962264150944,0.8339563242487771,0.027293845525015032,52,0.6666666666666666,0.68,0.6666666666666666,0.5918367346938775,0.6226415094339622,0.6,0.66,0.6521739130434783,0.6851851851851852,0.6597938144329897,0.6484964490122826,0.03082700649193088,1,0.7619047619047619,0.7391304347826086,0.7083333333333334,0.6444444444444445,0.6226415094339622,0.6521739130434783,0.717391304347826,0.7894736842105263,0.6727272727272727,0.7272727272727273,0.7035493385500942,0.051439817480233754,88,0.5925925925925926,0.6296296296296297,0.6296296296296297,0.5471698113207547,0.6226415094339622,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.6981132075471698,0.6037735849056604,0.6045772187281622,0.043150170999967256,2
phoneme,1.1105791807174683,0.046394138655203934,0.04580929279327393,0.0036620936999538097,138,5,1,26,"{'n_estimators': 138, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 26}",0.902867715078631,0.9093432007400555,0.8991674375578168,0.9130434782608695,0.9157407407407407,0.9019426456984274,0.9148936170212766,0.8973172987974098,0.9204440333024977,0.9148148148148149,0.9089574982012539,0.007628733025312725,1,0.9632269146283052,0.9598018894412604,0.9578984095000578,0.9562942538968159,0.9637740779175676,0.9519175186218971,0.9650127173930996,0.9531355806233175,0.9690294847383303,0.9662092603081809,0.9606300107068833,0.005445517370521281,1,0.8372093023255814,0.839344262295082,0.8278041074249605,0.8512658227848101,0.8539325842696629,0.8295819935691319,0.8511326860841424,0.8262910798122066,0.8630573248407644,0.8535031847133758,0.8433122348119719,0.012258330761062941,1,0.823170731707317,0.8737201365187713,0.8291139240506329,0.856687898089172,0.869281045751634,0.8459016393442623,0.8737541528239202,0.8198757763975155,0.8741935483870967,0.8617363344051447,0.8527435187475467,0.020667595288340418,1,0.8517350157728707,0.807570977917981,0.8264984227129337,0.8459119496855346,0.8391167192429022,0.8138801261829653,0.8296529968454258,0.832807570977918,0.8522012578616353,0.8454258675078864,0.8344800904708052,0.014567196122984516,1
phoneme,0.2519742727279663,0.006882906241743802,0.017441558837890624,0.004427366055663754,33,3,2,19,"{'n_estimators': 33, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 19}",0.9000925069380203,0.9000925069380203,0.8982423681776133,0.9037927844588344,0.9111111111111111,0.8945420906567992,0.9047178538390379,0.8936170212765957,0.9158186864014801,0.9111111111111111,0.9033138040908624,0.007054164581714019,2,0.9602147918146235,0.9521549374865806,0.956496605942491,0.9502769603600485,0.9628148889283957,0.9464692718053744,0.9607639519711959,0.9505053925049962,0.9657467626136486,0.9609647291324714,0.9566408292559825,0.006093057626035588,3,0.8343558282208589,0.8205980066445183,0.8248407643312102,0.8343949044585988,0.8436482084690554,0.814935064935065,0.8346709470304976,0.8211508553654744,0.8557844690966719,0.8466453674121406,0.8331024415964091,0.01229760241093172,2,0.8119402985074626,0.8666666666666667,0.8327974276527331,0.8451612903225807,0.8720538720538721,0.8394648829431438,0.8496732026143791,0.8098159509202454,0.8626198083067093,0.8576051779935275,0.844779857798132,0.020499966514762467,2,0.8580441640378549,0.7791798107255521,0.8170347003154574,0.8238993710691824,0.8170347003154574,0.7917981072555205,0.8201892744479495,0.832807570977918,0.8490566037735849,0.8359621451104101,0.8225006448028888,0.022676855773090265,3
phoneme,0.8684216260910034,0.020434826922762588,0.03748199939727783,0.0034187953791862246,108,9,1,18,"{'n_estimators': 108, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_depth': 18}",0.8917668825161887,0.8982423681776133,0.8991674375578168,0.9037927844588344,0.912962962962963,0.8973172987974098,0.910268270120259,0.8926919518963923,0.9158186864014801,0.9055555555555556,0.9027584198444512,0.00790593660980153,3,0.9581234412935404,0.9543144168992682,0.9556253819346953,0.9535988361070585,0.9587714112068003,0.9501977802368407,0.9618271755826053,0.9502019092605746,0.9672881789032041,0.9606732514439515,0.9570621782868539,0.0051005535060520595,2,0.8197226502311248,0.8202614379084967,0.8267090620031796,0.8343949044585988,0.8488745980707395,0.820097244732577,0.8438003220611916,0.8170347003154574,0.8553259141494436,0.8380952380952381,0.8324316072026047,0.013004920370952033,3,0.8012048192771084,0.8508474576271187,0.8333333333333334,0.8451612903225807,0.8655737704918033,0.8433333333333334,0.8618421052631579,0.8170347003154574,0.864951768488746,0.8434504792332268,0.8426733057685866,0.019815294767098333,3,0.8391167192429022,0.7917981072555205,0.8201892744479495,0.8238993710691824,0.832807570977918,0.7981072555205048,0.8264984227129337,0.8170347003154574,0.8459119496855346,0.832807570977918,0.8228170942205821,0.016206443397897674,2
credit_approval,0.15801122188568115,0.0058612403647880975,0.023107624053955077,0.0020948778507363184,103,10,1,29,"{'rforest__n_estimators': 103, 'rforest__min_samples_split': 10, 'rforest__min_samples_leaf': 1, 'rforest__max_depth': 29}",0.8333333333333334,0.8478260869565217,0.8768115942028986,0.8840579710144928,0.9057971014492754,0.8985507246376812,0.8623188405797102,0.8623188405797102,0.855072463768116,0.8623188405797102,0.868840579710145,0.021361453584034306,1,0.886990662139219,0.892720713073005,0.9321907600596127,0.93314881839472,0.9548648073238237,0.932088285229202,0.8877334465195246,0.9175005322546306,0.93698105173515,0.9080263998296786,0.9182245476558567,0.022281252406668305,48,0.8496732026143791,0.851063829787234,0.8859060402684564,0.9,0.9139072847682119,0.9054054054054054,0.8707482993197279,0.8789808917197452,0.8666666666666667,0.8789808917197452,0.8801332512269573,0.020621124677870875,2,0.8441558441558441,0.9230769230769231,0.9166666666666666,0.8674698795180723,0.9324324324324325,0.9305555555555556,0.9014084507042254,0.8625,0.8904109589041096,0.8625,0.893117671101383,0.030668182563728084,45,0.8552631578947368,0.7894736842105263,0.8571428571428571,0.935064935064935,0.8961038961038961,0.881578947368421,0.8421052631578947,0.8961038961038961,0.8441558441558441,0.8961038961038961,0.8693096377306905,0.03836664811922305,7
credit_approval,0.06110711097717285,0.005640185450427046,0.02032155990600586,0.002170055138665927,48,22,19,3,"{'rforest__n_estimators': 48, 'rforest__min_samples_split': 22, 'rforest__min_samples_leaf': 19, 'rforest__max_depth': 3}",0.8405797101449275,0.8333333333333334,0.8913043478260869,0.8695652173913043,0.9057971014492754,0.8840579710144928,0.855072463768116,0.855072463768116,0.8840579710144928,0.855072463768116,0.8673913043478262,0.022228785000257927,2,0.9086375212224108,0.8973896434634975,0.9096231637215244,0.9073876942729402,0.9506067702789015,0.9382427843803055,0.8972835314091681,0.906855439642325,0.9453906748988716,0.8895039386842666,0.915092116197421,0.020492186335444112,67,0.8607594936708861,0.8413793103448276,0.9044585987261147,0.8860759493670886,0.9150326797385621,0.8933333333333333,0.868421052631579,0.868421052631579,0.8987341772151899,0.8717948717948718,0.8808410519454032,0.021404030644731755,1,0.8292682926829268,0.8840579710144928,0.8875,0.8641975308641975,0.9210526315789473,0.9054054054054054,0.868421052631579,0.88,0.8765432098765432,0.8607594936708861,0.8777205587724979,0.023856140616285812,96,0.8947368421052632,0.8026315789473685,0.922077922077922,0.9090909090909091,0.9090909090909091,0.881578947368421,0.868421052631579,0.8571428571428571,0.922077922077922,0.8831168831168831,0.8849965823650034,0.03443222736228604,3
credit_approval,0.1644432783126831,0.0066285141049404455,0.023847579956054688,0.0037445655675475715,108,9,1,18,"{'rforest__n_estimators': 108, 'rforest__min_samples_split': 9, 'rforest__min_samples_leaf': 1, 'rforest__max_depth': 18}",0.8405797101449275,0.8478260869565217,0.8623188405797102,0.8695652173913043,0.9057971014492754,0.9057971014492754,0.855072463768116,0.8695652173913043,0.8478260869565217,0.855072463768116,0.8659420289855072,0.021799433270277294,3,0.8878395585738541,0.8848684210526315,0.9328294656163508,0.9354907387694272,0.9563551202895465,0.932937181663837,0.8900679117147708,0.9121779859484777,0.9363423461784117,0.9058973813072174,0.9174806111114526,0.023498387583369827,52,0.8552631578947368,0.851063829787234,0.87248322147651,0.8875,0.9139072847682119,0.912751677852349,0.863013698630137,0.8846153846153846,0.8609271523178808,0.8734177215189873,0.877494312886143,0.021067731403138612,3,0.8552631578947368,0.9230769230769231,0.9027777777777778,0.8554216867469879,0.9324324324324325,0.9315068493150684,0.9,0.8734177215189873,0.8783783783783784,0.8518518518518519,0.8904126778993143,0.030243353781659783,67,0.8552631578947368,0.7894736842105263,0.8441558441558441,0.922077922077922,0.8961038961038961,0.8947368421052632,0.8289473684210527,0.8961038961038961,0.8441558441558441,0.8961038961038961,0.8667122351332879,0.03870786601522781,9
credit_g,0.24659218788146972,0.013605476365745035,0.029667758941650392,0.0026561890095010083,124,12,4,24,"{'rforest__n_estimators': 124, 'rforest__min_samples_split': 12, 'rforest__min_samples_leaf': 4, 'rforest__max_depth': 24}",0.74,0.73,0.765,0.71,0.765,0.745,0.74,0.775,0.725,0.725,0.742,0.019773719933285208,1,0.7723809523809524,0.7332142857142857,0.7679166666666667,0.7801190476190476,0.763452380952381,0.7664880952380954,0.7832142857142858,0.8071428571428572,0.7626190476190476,0.7151190476190474,0.7651666666666668,0.024305952701646896,17,0.8354430379746836,0.8235294117647058,0.8507936507936508,0.8152866242038217,0.8498402555910544,0.8370607028753994,0.832258064516129,0.8580441640378549,0.8264984227129337,0.8172757475083057,0.834603008197854,0.013848135522088056,2,0.75,0.7590361445783133,0.7657142857142857,0.735632183908046,0.7687861271676301,0.7572254335260116,0.7588235294117647,0.768361581920904,0.7401129943502824,0.7639751552795031,0.7567667435856741,0.010910189308070136,7,0.9428571428571428,0.9,0.9571428571428572,0.9142857142857143,0.95,0.9357142857142857,0.9214285714285714,0.9714285714285714,0.9357142857142857,0.8785714285714286,0.9307142857142857,0.02635123820813817,92
credit_g,0.2400432825088501,0.004700760336110981,0.02891247272491455,0.0021303992481709376,108,9,1,18,"{'rforest__n_estimators': 108, 'rforest__min_samples_split': 9, 'rforest__min_samples_leaf': 1, 'rforest__max_depth': 18}",0.765,0.715,0.735,0.735,0.745,0.745,0.745,0.79,0.725,0.715,0.7415,0.02168524844220146,2,0.7635714285714287,0.7132142857142858,0.7562500000000001,0.7773809523809523,0.7561904761904762,0.7535119047619047,0.7752380952380954,0.7996428571428571,0.7604761904761903,0.7142857142857142,0.7569761904761905,0.02525226747188567,63,0.8469055374592834,0.8093645484949833,0.8262295081967214,0.8284789644012945,0.8327868852459016,0.8349514563106796,0.8338762214983714,0.864516129032258,0.8208469055374593,0.8041237113402062,0.8302079867517159,0.016491664521620736,26,0.7784431137724551,0.7610062893081762,0.7636363636363637,0.757396449704142,0.7696969696969697,0.7633136094674556,0.7664670658682635,0.788235294117647,0.7544910179640718,0.7748344370860927,0.7677520610621638,0.009770842245753057,2,0.9285714285714286,0.8642857142857143,0.9,0.9142857142857143,0.9071428571428571,0.9214285714285714,0.9142857142857143,0.9571428571428572,0.9,0.8357142857142857,0.9042857142857142,0.031975756122284836,98
